catalogue	Taxo_level	species	genus	family	order	class	phylum	superkingdom	knowledge	
msp_0978	gut	family	unclassified Peptococcaceae	unclassified Peptococcaceae	Peptococcaceae	Peptococcales	Peptococcia	Firmicutes	Bacteria	unknown
msp_0979	gut	family	unclassified Christensenellales CAG-74	unclassified Christensenellales CAG-74	Christensenellales CAG-74	Christensenellales	Clostridia	Firmicutes	Bacteria	unknown
msp_0980	gut	genus	unclassified Prevotella	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0981	gut	genus	unclassified_Holdemanella	Holdemanella	Erysipelotrichaceae	Erysipelotrichales	Bacilli	Firmicutes	Bacteria	unknown
msp_0982	gut	family	unclassified Clostridiales 1b	unclassified Clostridiales 1b	Clostridiales 1b	Clostridiales 1	Clostridia	Firmicutes	Bacteria	unknown
msp_0983	gut	species	Streptococcus lutetiensis	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	known
msp_0984	gut	genus	unclassified Burkholderiaceae CAG-521	Burkholderiaceae CAG-521	Burkholderiaceae	Burkholderiales	Gammaproteobacteria	Proteobacteria	Bacteria	unknown
msp_0985	gut	species	[Mycoplasma] sp. CAG:472	Bacilli RF39 CAG-1000 CAG-460	Bacilli RF39 CAG-1000	Bacilli RF39	Bacilli	Firmicutes	Bacteria	unknown
msp_0986	gut	species	[Coprococcus] catus	Frisingicoccus	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	known
msp_0987	gut	genus	unclassified Rikenellaceae 2 RC9	Rikenellaceae 2 RC9	Rikenellaceae 2	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0988	gut	genus	unclassified Oscillospiraceae CAG-129	Oscillospiraceae CAG-129	Oscillospiraceae	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0989	gut	genus	unclassified Coprococcus	Coprococcus	Lachnospiraceae A	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0990	gut	family	unclassified Victivallaceae	unclassified Victivallaceae	Victivallaceae	Victivallales	Lentisphaeria	Verrucomicrobiota	Bacteria	unknown
msp_0991	gut	genus	unclassified Rikenellaceae 2 RC9	Rikenellaceae 2 RC9	Rikenellaceae 2	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0992	gut	family	unclassified Methanomethylophilaceae	unclassified Methanomethylophilaceae	Methanomethylophilaceae	Methanomassiliicoccales	Thermoplasmata	Thermoplasmatota	Archaea	unknown
msp_0993	gut	family	unclassified Clostridiales 2f	unclassified Clostridiales 2f	Clostridiales 2f	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_0994	gut	species	Selenomonadaceae bacterium UBA2829	Mitsuokella	Selenomonadaceae	Selenomonadales	Negativicutes	Firmicutes	Bacteria	unknown
msp_0995	gut	genus	unclassified Oribacterium	Oribacterium	Lachnospiraceae H	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0996	gut	family	unclassified Oscillospirales 1 CAG-272	unclassified Oscillospirales 1 CAG-272	Oscillospirales 1 CAG-272	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_0997	gut	genus	unclassified Prevotella	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_0998	gut	genus	unclassified Gastranaerophilaceae CAG-484	Gastranaerophilaceae CAG-484	Gastranaerophilaceae	Gastranaerophilales	Vampirovibrionia	Cyanobacteria	Bacteria	unknown
msp_0999	gut	species	Collinsella stercoris	Collinsella	Coriobacteriaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	known
msp_1000	gut	family	unclassified Barnesiellaceae	unclassified Barnesiellaceae	Barnesiellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
msp_1001	gut	family	unclassified Oscillospirales 1 CAG-272	unclassified Oscillospirales 1 CAG-272	Oscillospirales 1 CAG-272	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1002	gut	genus	unclassified Acutalibacteraceae 2 CAG-528	Acutalibacteraceae 2 CAG-528	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1003	gut	species	[Eubacterium] sp. CAG:841	unclassified Oscillospirales 1 CAG-272	Oscillospirales 1 CAG-272	Oscillospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1004	gut	family	unclassified Clostridiales 2c	unclassified Clostridiales 2c	Clostridiales 2c	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1005	gut	species	[Clostridium] sp. CAG:508	unclassified Clostridiales 2b	Clostridiales 2b	Clostridiales 2	Clostridia	Firmicutes	Bacteria	unknown
msp_1006	gut & oral	species	Limosilactobacillus fermentum	Limosilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli	Firmicutes	Bacteria	known
msp_1007	gut	species	[Coprobacillus] sp. CAG:698	unclassified Bacilli ML615J-28 CAG-698	Bacilli ML615J-28 CAG-698	Bacilli ML615J-28	Bacilli	Firmicutes	Bacteria	unknown
msp_1008	gut	family	unclassified Bacilli ML615J-28 CAG-313	unclassified Bacilli ML615J-28 CAG-313	Bacilli ML615J-28 CAG-313	Bacilli ML615J-28	Bacilli	Firmicutes	Bacteria	unknown
msp_1009	gut	species	Senegalimassilia anaerobia	Senegalimassilia	Eggerthellaceae	Coriobacteriales	Coriobacteriia	Actinobacteriota	Bacteria	known
msp_1010	gut	family	unclassified Anaerotignaceae CAG-274	Anaerotignaceae CAG-274	Anaerotignaceae	Lachnospirales	Clostridia	Firmicutes	Bacteria	unknown
msp_1011	gut	species	[Clostridium] sp. CAG:557	Acutalibacteraceae 3	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1012	gut	species	[Intestinimonas] massiliensis	Flavonifractor	Oscillospirales 6	Oscillospirales	Clostridia	Firmicutes	Bacteria	known
msp_1013	gut	genus	unclassified Acutalibacter	Acutalibacter	Acutalibacteraceae	Clostridiales	Clostridia	Firmicutes	Bacteria	unknown
msp_1014	gut	genus	unclassified Prevotella	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	unknown
