,count,sample,catalogue,Taxo_level,species,genus,family,order,class,phylum,superkingdom,knowledge
457,310,msp_0484,gut,genus,unclassified Faecalibacterium,Faecalibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
57,306,msp_0062,gut,species,Odoribacter splanchnicus,Odoribacter,Marinifilaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
13,306,msp_0015,gut,species,Agathobacter faecis,Agathobacter,Lachnospiraceae C,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
26,300,msp_0029,gut,species,[Eubacterium] eligens,Lachnospira,Lachnospiraceae H,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
70,299,msp_0075,gut,species,Lachnospiraceae sp. 3,unclassified Lachnospiraceae G,Lachnospiraceae G,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
4,299,msp_0005,gut & oral,species,Escherichia coli,Escherichia,Enterobacteriaceae,Enterobacterales,Gammaproteobacteria,Proteobacteria,Bacteria,known
53,290,msp_0058,gut,species,[Ruminococcus] gnavus,Mediterraneibacter,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
186,289,msp_0196,gut,species,Alistipes shahii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
41,288,msp_0045,gut,species,[Ruminococcus] bromii 2,Acutalibacteraceae 3 CAG-581,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
162,282,msp_0172,gut,species,Ruthenibacterium lactatiformans,Ruthenibacterium,Ruminococcaceae,Clostridiales,Clostridia,Firmicutes,Bacteria,known
21,282,msp_0023,gut,species,Bacteroides caccae,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
452,282,msp_0478,gut,species,Lawsonibacter phoceensis,Lawsonibacter,Oscillospirales 6,Oscillospirales,Clostridia,Firmicutes,Bacteria,known
28,280,msp_0032,gut,species,Alistipes onderdonkii,Alistipes,Rikenellaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
500,275,msp_0530,gut,species,Dorea longicatena 2,Dorea,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
1584,272,msp_0380,gut & oral,species,Streptococcus salivarius,Streptococcus,Streptococcaceae,Lactobacillales,Bacilli,Firmicutes,Bacteria,known
709,269,msp_0763,gut,species,[Oscillibacter] sp. ER4 / Firmicutes bacterium CAG:129_59_24,Oscillospiraceae CAG-129,Oscillospiraceae,Oscillospirales,Clostridia,Firmicutes,Bacteria,unknown
27,262,msp_0031,gut,species,Bacteroides stercoris,Bacteroides,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
31,259,msp_0035,gut,species,Bacteroides dorei,Bacteroides 3,Bacteroidaceae,Bacteroidales,Bacteroidia,Bacteroidota,Bacteria,known
74,256,msp_0079,gut,species,[Clostridium] sp. CAG:7,Enterocloster,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
290,250,msp_0307,gut,species,Dorea longicatena,Dorea,Lachnospiraceae J,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
244,249,msp_0258,gut,species,Anaerotignum faecicola,Anaerotignum,Anaerotignaceae,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
118,246,msp_0125,gut,species,Firmicutes bacterium CAG:24 / [Clostridium] sp. 2789STDY5834869 & 2789STDY5834922,Eisenbergiella,Lachnospiraceae G,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
223,246,msp_0236,gut,species,[Eubacterium] ventriosum,Lachnospiraceae B EuG,Lachnospiraceae B,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
829,240,msp_0898,gut,species,butyrate-producing bacterium SS3/4-[Clostridium] sp. CAG:81,Lachnoclostridium 2,Lachnospiraceae I,Lachnospirales,Clostridia,Firmicutes,Bacteria,unknown
46,240,msp_0050,gut,species,Anaerobutyricum hallii,Anaerobutyricum,Lachnospiraceae A,Lachnospirales,Clostridia,Firmicutes,Bacteria,known
275,239,msp_0291,gut,genus,unclassified Acutalibacteraceae 3 UBA1417,Acutalibacteraceae 3 UBA1417,Acutalibacteraceae,Clostridiales,Clostridia,Firmicutes,Bacteria,unknown
249,238,msp_0263,gut,species,Bifidobacterium adolescentis,Bifidobacterium,Bifidobacteriaceae,Actinomycetales,Actinobacteria,Actinobacteriota,Bacteria,known
